Seed,Epsilon,Fair-Method,DP-Method,DI,ACC,ACC_PRIV,ACC_UNPRIV,PREC,REC,MAD,EOD,TPR,FPR,TNR,FNR,SPD,EODD
602627,,,,1.0342313139260424,0.7033945464663328,0.7064559515803631,0.6887096774193548,0.7447833065810594,0.5536992840095465,-0.01774627416100827,-0.006143932116554507,0.5536992840095465,0.16579770594369134,0.8342022940563086,0.44630071599045346,0.011797947805714026,0.02897719503486834
602627,,reweigh,mst,1.0342313139260424,0.7033945464663328,0.7064559515803631,0.6887096774193548,0.7447833065810594,0.5536992840095465,-0.01774627416100827,-0.006143932116554507,0.5536992840095465,0.16579770594369134,0.8342022940563086,0.44630071599045346,0.011797947805714026,0.02897719503486834
602627,,reweigh,mst,1.0342313139260424,0.7033945464663328,0.7064559515803631,0.6887096774193548,0.7447833065810594,0.5536992840095465,-0.01774627416100827,-0.006143932116554507,0.5536992840095465,0.16579770594369134,0.8342022940563086,0.44630071599045346,0.011797947805714026,0.02897719503486834
602627,,dir,mst,1.0342313139260424,0.7033945464663328,0.7064559515803631,0.6887096774193548,0.7447833065810594,0.5536992840095465,-0.01774627416100827,-0.006143932116554507,0.5536992840095465,0.16579770594369134,0.8342022940563086,0.44630071599045346,0.011797947805714026,0.02897719503486834
602627,,dir,mst,1.0342313139260424,0.7033945464663328,0.7064559515803631,0.6887096774193548,0.7447833065810594,0.5536992840095465,-0.01774627416100827,-0.006143932116554507,0.5536992840095465,0.16579770594369134,0.8342022940563086,0.44630071599045346,0.011797947805714026,0.02897719503486834
602627,,lfr,mst,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
602627,,lfr,mst,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
602627,,egr,mst,1.0342313139260424,0.7033945464663328,0.7064559515803631,0.6887096774193548,0.7447833065810594,0.5536992840095465,-0.01774627416100827,-0.006143932116554507,0.5536992840095465,0.16579770594369134,0.8342022940563086,0.44630071599045346,0.011797947805714026,0.02897719503486834
602627,,egr,mst,1.076349331235248,0.7042292710072343,0.7064559515803631,0.6935483870967742,0.7442231075697211,0.5572792362768496,-0.012907564483588874,0.014689401216778752,0.5572792362768496,0.1673618352450469,0.8326381647549531,0.44272076372315033,0.0263140768379721,0.038013339613181596
602627,,gsr,mst,1.0342313139260424,0.7033945464663328,0.7064559515803631,0.6887096774193548,0.7447833065810594,0.5536992840095465,-0.01774627416100827,-0.006143932116554507,0.5536992840095465,0.16579770594369134,0.8342022940563086,0.44630071599045346,0.011797947805714026,0.02897719503486834
